figure_panel,tissue_dataset,regulator,heme_gene,spearman_R,p_value,data_source
Figure_4B,BLCA_Normal,ATAD2,ALAD,-0.15,0.54,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,ATAD2,ALAS1,0.23,0.35,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,ATAD2,CPOX,0.6,0.0077,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,ATAD2,FECH,0.0035,0.99,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,ATAD2,HMBS,0.64,0.003,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,ATAD2,PPOX,-0.066,0.79,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,ATAD2,UROD,-0.014,0.96,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,ATAD2,UROS,-0.047,0.85,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD2,ALAD,-0.31,0.2,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD2,ALAS1,0.8,5.6e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD2,CPOX,-0.19,0.44,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD2,FECH,-0.47,0.043,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD2,HMBS,-0.38,0.11,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD2,PPOX,0.14,0.58,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD2,UROD,-0.53,0.021,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD2,UROS,-0.63,0.0046,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD4,ALAD,0.38,0.11,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD4,ALAS1,-0.25,0.29,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD4,CPOX,-0.21,0.39,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD4,FECH,0.45,0.056,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD4,HMBS,-0.33,0.17,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD4,PPOX,-0.38,0.1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD4,UROD,0.18,0.46,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,BRD4,UROS,0.16,0.52,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,H2AFZ,ALAD,0.047,0.85,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,H2AFZ,ALAS1,-0.43,0.065,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,H2AFZ,CPOX,0.061,0.8,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,H2AFZ,FECH,0.29,0.23,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,H2AFZ,HMBS,0.18,0.47,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,H2AFZ,PPOX,-0.41,0.081,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,H2AFZ,UROD,0.45,0.057,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BLCA_Normal,H2AFZ,UROS,0.36,0.13,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,ATAD2,ALAD,-0.024,0.8,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,ATAD2,ALAS1,-0.28,0.0024,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,ATAD2,CPOX,0.63,9.7e-14,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,ATAD2,FECH,0.63,1.3e-13,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,ATAD2,HMBS,0.15,0.11,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,ATAD2,PPOX,0.53,2e-09,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,ATAD2,UROD,-0.31,0.00081,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,ATAD2,UROS,-0.15,0.1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD2,ALAD,0.096,0.31,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD2,ALAS1,-0.052,0.58,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD2,CPOX,0.72,2.5e-19,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD2,FECH,0.61,1.1e-12,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD2,HMBS,0.14,0.15,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD2,PPOX,0.72,3.2e-19,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD2,UROD,-0.28,0.0028,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD2,UROS,-0.096,0.31,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD4,ALAD,0.15,0.13,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD4,ALAS1,-0.09,0.35,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD4,CPOX,0.68,3.2e-16,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD4,FECH,0.61,8e-13,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD4,HMBS,0.29,0.0018,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD4,PPOX,0.73,4.7e-20,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD4,UROD,-0.23,0.016,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,BRD4,UROS,-0.1,0.29,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,H2AFZ,ALAD,-0.37,5.9e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,H2AFZ,ALAS1,0.0068,0.94,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,H2AFZ,CPOX,0.23,0.016,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,H2AFZ,FECH,0.11,0.27,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,H2AFZ,HMBS,0.25,0.0071,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,H2AFZ,PPOX,0.38,3.1e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,H2AFZ,UROD,-0.052,0.59,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,BRCA_Normal,H2AFZ,UROS,0.19,0.044,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,ATAD2,ALAD,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,ATAD2,ALAS1,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,ATAD2,CPOX,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,ATAD2,FECH,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,ATAD2,HMBS,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,ATAD2,PPOX,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,ATAD2,UROD,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,ATAD2,UROS,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD2,ALAD,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD2,ALAS1,-1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD2,CPOX,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD2,FECH,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD2,HMBS,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD2,PPOX,1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD2,UROD,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD2,UROS,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD4,ALAD,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD4,ALAS1,-1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD4,CPOX,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD4,FECH,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD4,HMBS,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD4,PPOX,1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD4,UROD,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,CESC_Normal,BRD4,UROS,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
