figure_panel,cancer_type,n_normal_samples,gene_pair,upstream_gene,downstream_gene,spearman_R_normal_tissue,spearman_R_cancer,delta_cancer_minus_normal,data_source
Figure_4C,BRCA,114,ALAS1-ALAD,ALAS1,ALAD,0.32,0.16,-0.16,GEPIA2 TCGA RNA-seq
Figure_4C,BRCA,114,ALAD-HMBS,ALAD,HMBS,0.088,-0.15,-0.238,GEPIA2 TCGA RNA-seq
Figure_4C,BRCA,114,HMBS-UROS,HMBS,UROS,0.49,0.11,-0.38,GEPIA2 TCGA RNA-seq
Figure_4C,BRCA,114,UROS-UROD,UROS,UROD,0.43,0.19,-0.24,GEPIA2 TCGA RNA-seq
Figure_4C,BRCA,114,UROD-CPOX,UROD,CPOX,-0.29,0.065,0.355,GEPIA2 TCGA RNA-seq
Figure_4C,BRCA,114,CPOX-PPOX,CPOX,PPOX,0.49,0.058,-0.432,GEPIA2 TCGA RNA-seq
Figure_4C,BRCA,114,PPOX-FECH,PPOX,FECH,0.35,-0.055,-0.405,GEPIA2 TCGA RNA-seq
Figure_4C,COAD,41,ALAS1-ALAD,ALAS1,ALAD,0.072,0.0049,-0.0671,GEPIA2 TCGA RNA-seq
Figure_4C,COAD,41,ALAD-HMBS,ALAD,HMBS,-0.39,-0.24,0.15,GEPIA2 TCGA RNA-seq
Figure_4C,COAD,41,HMBS-UROS,HMBS,UROS,0.3,0.31,0.01,GEPIA2 TCGA RNA-seq
Figure_4C,COAD,41,UROS-UROD,UROS,UROD,0.63,0.044,-0.586,GEPIA2 TCGA RNA-seq
Figure_4C,COAD,41,UROD-CPOX,UROD,CPOX,-0.22,0.034,0.254,GEPIA2 TCGA RNA-seq
Figure_4C,COAD,41,CPOX-PPOX,CPOX,PPOX,0.19,-0.027,-0.217,GEPIA2 TCGA RNA-seq
Figure_4C,COAD,41,PPOX-FECH,PPOX,FECH,0.37,-0.21,-0.58,GEPIA2 TCGA RNA-seq
Figure_4C,HNSC,44,ALAS1-ALAD,ALAS1,ALAD,0.0013,0.15,0.1487,GEPIA2 TCGA RNA-seq
Figure_4C,HNSC,44,ALAD-HMBS,ALAD,HMBS,0.03,-0.063,-0.093,GEPIA2 TCGA RNA-seq
Figure_4C,HNSC,44,HMBS-UROS,HMBS,UROS,0.054,0.22,0.166,GEPIA2 TCGA RNA-seq
Figure_4C,HNSC,44,UROS-UROD,UROS,UROD,0.76,0.37,-0.39,GEPIA2 TCGA RNA-seq
Figure_4C,HNSC,44,UROD-CPOX,UROD,CPOX,-0.31,0.1,0.41,GEPIA2 TCGA RNA-seq
Figure_4C,HNSC,44,CPOX-PPOX,CPOX,PPOX,0.19,0.21,0.02,GEPIA2 TCGA RNA-seq
Figure_4C,HNSC,44,PPOX-FECH,PPOX,FECH,-0.084,0.069,0.153,GEPIA2 TCGA RNA-seq
Figure_4C,KIRC,72,ALAS1-ALAD,ALAS1,ALAD,-0.12,0.43,0.55,GEPIA2 TCGA RNA-seq
Figure_4C,KIRC,72,ALAD-HMBS,ALAD,HMBS,-0.39,0.011,0.401,GEPIA2 TCGA RNA-seq
Figure_4C,KIRC,72,HMBS-UROS,HMBS,UROS,0.58,0.44,-0.14,GEPIA2 TCGA RNA-seq
Figure_4C,KIRC,72,UROS-UROD,UROS,UROD,0.7,0.3,-0.4,GEPIA2 TCGA RNA-seq
