phase,analysis,gene1,gene2,dataset,method,status,pdf_path,timestamp
1,heme_consecutive,ALAS1,ALAD,Adipose_Subcutaneous+Adipose_Visceral_Omentum+Adrenal_Gland+Bladder+Cells_EBV-transformed_lymphocytes+Artery_Aorta+Artery_Coronary+Artery_Tibial+Whole_Blood+Cells_Leukemia_cell_line_CML+Brain_Amygdala+Brain_Anterior_cingulate_cortex_BA24+Brain_Caudate_basal_ganglia+Brain_Cerebellar_Hemisphere+Brain_Cerebellum+Brain_Cortex+Brain_Frontal_Cortex_BA9+Brain_Hippocampus+Brain_Hypothalamus+Brain_Nucleus_accumbens_basal_ganglia+Brain_Putamen_basal_ganglia+Brain_Spinal_cord_cervical_c-1+Brain_Substantia_nigra+Breast_Mammary_Tissue+Cervix_Ectocervix+Cervix_Endocervix+Colon_Sigmoid+Colon_Transverse+Esophagus_Gastroesophageal_Junction+Esophagus_Mucosa+Esophagus_Muscularis+Fallopian_Tube+Heart_Atrial_Appendage+Heart_Left_Ventricle+Kidney_Cortex+Liver+Lung+Muscle_Skeletal+Nerve_Tibial+Ovary+Pancreas+Pituitary+Prostate+Minor_Salivary_Gland+Cells_Transformed_fibroblasts+Skin_Not_Sun_Exposed_Suprapubic+Skin_Sun_Exposed_Lower_leg+Small_Intestine_Terminal_Ileum+Spleen+Stomach+Testis+Thyroid+Uterus+Vagina,spearman,failed,GEPIA returned None (server-side error or bad parameters),2026-09-11T12:09:04
1,heme_consecutive,ALAD,HMBS,Adipose_Subcutaneous+Adipose_Visceral_Omentum+Adrenal_Gland+Bladder+Cells_EBV-transformed_lymphocytes+Artery_Aorta+Artery_Coronary+Artery_Tibial+Whole_Blood+Cells_Leukemia_cell_line_CML+Brain_Amygdala+Brain_Anterior_cingulate_cortex_BA24+Brain_Caudate_basal_ganglia+Brain_Cerebellar_Hemisphere+Brain_Cerebellum+Brain_Cortex+Brain_Frontal_Cortex_BA9+Brain_Hippocampus+Brain_Hypothalamus+Brain_Nucleus_accumbens_basal_ganglia+Brain_Putamen_basal_ganglia+Brain_Spinal_cord_cervical_c-1+Brain_Substantia_nigra+Breast_Mammary_Tissue+Cervix_Ectocervix+Cervix_Endocervix+Colon_Sigmoid+Colon_Transverse+Esophagus_Gastroesophageal_Junction+Esophagus_Mucosa+Esophagus_Muscularis+Fallopian_Tube+Heart_Atrial_Appendage+Heart_Left_Ventricle+Kidney_Cortex+Liver+Lung+Muscle_Skeletal+Nerve_Tibial+Ovary+Pancreas+Pituitary+Prostate+Minor_Salivary_Gland+Cells_Transformed_fibroblasts+Skin_Not_Sun_Exposed_Suprapubic+Skin_Sun_Exposed_Lower_leg+Small_Intestine_Terminal_Ileum+Spleen+Stomach+Testis+Thyroid+Uterus+Vagina,spearman,failed,GEPIA returned None (server-side error or bad parameters),2026-09-11T12:09:14
1,heme_consecutive,HMBS,UROS,Adipose_Subcutaneous+Adipose_Visceral_Omentum+Adrenal_Gland+Bladder+Cells_EBV-transformed_lymphocytes+Artery_Aorta+Artery_Coronary+Artery_Tibial+Whole_Blood+Cells_Leukemia_cell_line_CML+Brain_Amygdala+Brain_Anterior_cingulate_cortex_BA24+Brain_Caudate_basal_ganglia+Brain_Cerebellar_Hemisphere+Brain_Cerebellum+Brain_Cortex+Brain_Frontal_Cortex_BA9+Brain_Hippocampus+Brain_Hypothalamus+Brain_Nucleus_accumbens_basal_ganglia+Brain_Putamen_basal_ganglia+Brain_Spinal_cord_cervical_c-1+Brain_Substantia_nigra+Breast_Mammary_Tissue+Cervix_Ectocervix+Cervix_Endocervix+Colon_Sigmoid+Colon_Transverse+Esophagus_Gastroesophageal_Junction+Esophagus_Mucosa+Esophagus_Muscularis+Fallopian_Tube+Heart_Atrial_Appendage+Heart_Left_Ventricle+Kidney_Cortex+Liver+Lung+Muscle_Skeletal+Nerve_Tibial+Ovary+Pancreas+Pituitary+Prostate+Minor_Salivary_Gland+Cells_Transformed_fibroblasts+Skin_Not_Sun_Exposed_Suprapubic+Skin_Sun_Exposed_Lower_leg+Small_Intestine_Terminal_Ileum+Spleen+Stomach+Testis+Thyroid+Uterus+Vagina,spearman,failed,GEPIA returned None (server-side error or bad parameters),2026-09-11T12:09:25
1,heme_consecutive,UROS,UROD,Adipose_Subcutaneous+Adipose_Visceral_Omentum+Adrenal_Gland+Bladder+Cells_EBV-transformed_lymphocytes+Artery_Aorta+Artery_Coronary+Artery_Tibial+Whole_Blood+Cells_Leukemia_cell_line_CML+Brain_Amygdala+Brain_Anterior_cingulate_cortex_BA24+Brain_Caudate_basal_ganglia+Brain_Cerebellar_Hemisphere+Brain_Cerebellum+Brain_Cortex+Brain_Frontal_Cortex_BA9+Brain_Hippocampus+Brain_Hypothalamus+Brain_Nucleus_accumbens_basal_ganglia+Brain_Putamen_basal_ganglia+Brain_Spinal_cord_cervical_c-1+Brain_Substantia_nigra+Breast_Mammary_Tissue+Cervix_Ectocervix+Cervix_Endocervix+Colon_Sigmoid+Colon_Transverse+Esophagus_Gastroesophageal_Junction+Esophagus_Mucosa+Esophagus_Muscularis+Fallopian_Tube+Heart_Atrial_Appendage+Heart_Left_Ventricle+Kidney_Cortex+Liver+Lung+Muscle_Skeletal+Nerve_Tibial+Ovary+Pancreas+Pituitary+Prostate+Minor_Salivary_Gland+Cells_Transformed_fibroblasts+Skin_Not_Sun_Exposed_Suprapubic+Skin_Sun_Exposed_Lower_leg+Small_Intestine_Terminal_Ileum+Spleen+Stomach+Testis+Thyroid+Uterus+Vagina,spearman,failed,GEPIA returned None (server-side error or bad parameters),2026-09-11T12:09:34
1,heme_consecutive,UROD,CPOX,Adipose_Subcutaneous+Adipose_Visceral_Omentum+Adrenal_Gland+Bladder+Cells_EBV-transformed_lymphocytes+Artery_Aorta+Artery_Coronary+Artery_Tibial+Whole_Blood+Cells_Leukemia_cell_line_CML+Brain_Amygdala+Brain_Anterior_cingulate_cortex_BA24+Brain_Caudate_basal_ganglia+Brain_Cerebellar_Hemisphere+Brain_Cerebellum+Brain_Cortex+Brain_Frontal_Cortex_BA9+Brain_Hippocampus+Brain_Hypothalamus+Brain_Nucleus_accumbens_basal_ganglia+Brain_Putamen_basal_ganglia+Brain_Spinal_cord_cervical_c-1+Brain_Substantia_nigra+Breast_Mammary_Tissue+Cervix_Ectocervix+Cervix_Endocervix+Colon_Sigmoid+Colon_Transverse+Esophagus_Gastroesophageal_Junction+Esophagus_Mucosa+Esophagus_Muscularis+Fallopian_Tube+Heart_Atrial_Appendage+Heart_Left_Ventricle+Kidney_Cortex+Liver+Lung+Muscle_Skeletal+Nerve_Tibial+Ovary+Pancreas+Pituitary+Prostate+Minor_Salivary_Gland+Cells_Transformed_fibroblasts+Skin_Not_Sun_Exposed_Suprapubic+Skin_Sun_Exposed_Lower_leg+Small_Intestine_Terminal_Ileum+Spleen+Stomach+Testis+Thyroid+Uterus+Vagina,spearman,failed,GEPIA returned None (server-side error or bad parameters),2026-09-11T12:09:45
1,heme_consecutive,ALAS1,ALAD,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_consecutive__ALAS1_vs_ALAD__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:11:54
1,heme_consecutive,ALAD,HMBS,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_consecutive__ALAD_vs_HMBS__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:12:05
1,heme_consecutive,HMBS,UROS,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_consecutive__HMBS_vs_UROS__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:12:16
1,heme_consecutive,UROS,UROD,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_consecutive__UROS_vs_UROD__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:12:27
1,heme_consecutive,ALAS1,ALAD,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_consecutive__ALAS1_vs_ALAD__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:12:34
