"phase","analysis","gene1","gene2","dataset","R","p_value","status","path"
"ph2","chromatin_vs_heme","ATAD2","ALAD","ACC_Tumor",0.18,"0.12","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__ACC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","BLCA_Tumor",0.31,"3.4e-10","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__BLCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","BRCA_Tumor",-0.037,"0.22","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__BRCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","CESC_Tumor",0.43,"3.7e-15","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__CESC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","CHOL_Tumor",0.33,"0.047","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__CHOL_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","COAD_Tumor",0.027,"0.66","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__COAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","DLBC_Tumor",0.72,"5.6e-08","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__DLBC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","ESCA_Tumor",0.16,"0.031","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__ESCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","GBM_Tumor",0.26,"0.00069","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__GBM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","HNSC_Tumor",0.4,"3.4e-21","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__HNSC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","KICH_Tumor",0.54,"2.8e-06","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__KICH_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","KIRC_Tumor",0.3,"2.9e-12","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__KIRC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","KIRP_Tumor",0.36,"2.7e-10","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__KIRP_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","LAML_Tumor",0.25,"0.00073","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__LAML_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","LGG_Tumor",-0.086,"0.049","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__LGG_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","LIHC_Tumor",0.057,"0.28","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__LIHC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","LUAD_Tumor",0.0044,"0.92","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__LUAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","LUSC_Tumor",0.22,"9e-07","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__LUSC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","MESO_Tumor",0.19,"0.08","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__MESO_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","OV_Tumor",0.44,"9.6e-22","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__OV_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","PAAD_Tumor",0.19,"0.01","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__PAAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","PCPG_Tumor",0.57,"2.9e-17","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__PCPG_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","PRAD_Tumor",0.46,"2.5e-27","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__PRAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","READ_Tumor",0.062,"0.56","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__READ_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","SARC_Tumor",0.5,"5.8e-18","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__SARC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","SKCM_Tumor",0.32,"1.2e-12","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__SKCM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","STAD_Tumor",0.015,"0.76","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__STAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","TGCT_Tumor",0.65,"4.9e-18","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__TGCT_Tumor__spearman.pdf"
