figure_panel,phase,analysis,gene1,gene2,dataset,spearman_R,p_value,status,path
Supplemental_pancancer_chromatin_heme,5A,focused_chromatin_vs_heme,ATAD2,ALAD,BRCA_Tumor,-0.037,0.22,ok,gepia_results_phase5/5A__focused_chromatin_vs_heme__BRCA_Tumor__ATAD2_vs_ALAD.pdf
Supplemental_pancancer_chromatin_heme,5A,focused_chromatin_vs_heme,ATAD2,ALAS1,BRCA_Tumor,0.21,3.2e-12,ok,gepia_results_phase5/5A__focused_chromatin_vs_heme__BRCA_Tumor__ATAD2_vs_ALAS1.pdf
Supplemental_pancancer_chromatin_heme,5A,focused_chromatin_vs_heme,ATAD2,CPOX,BRCA_Tumor,0.29,3.6000000000000003e-22,ok,gepia_results_phase5/5A__focused_chromatin_vs_heme__BRCA_Tumor__ATAD2_vs_CPOX.pdf
Supplemental_pancancer_chromatin_heme,5A,focused_chromatin_vs_heme,ATAD2,FECH,BRCA_Tumor,0.4,6.3e-42,ok,gepia_results_phase5/5A__focused_chromatin_vs_heme__BRCA_Tumor__ATAD2_vs_FECH.pdf
Supplemental_pancancer_chromatin_heme,5A,focused_chromatin_vs_heme,ATAD2,HMBS,BRCA_Tumor,0.17,1.5e-08,ok,gepia_results_phase5/5A__focused_chromatin_vs_heme__BRCA_Tumor__ATAD2_vs_HMBS.pdf
Supplemental_pancancer_chromatin_heme,5A,focused_chromatin_vs_heme,ATAD2,PPOX,BRCA_Tumor,-0.2,5.6e-11,ok,gepia_results_phase5/5A__focused_chromatin_vs_heme__BRCA_Tumor__ATAD2_vs_PPOX.pdf
Supplemental_pancancer_chromatin_heme,5A,focused_chromatin_vs_heme,ATAD2,UROD,BRCA_Tumor,-0.12,3.7e-05,ok,gepia_results_phase5/5A__focused_chromatin_vs_heme__BRCA_Tumor__ATAD2_vs_UROD.pdf
Supplemental_pancancer_chromatin_heme,5A,focused_chromatin_vs_heme,ATAD2,UROS,BRCA_Tumor,-0.069,0.024,ok,gepia_results_phase5/5A__focused_chromatin_vs_heme__BRCA_Tumor__ATAD2_vs_UROS.pdf
Supplemental_pancancer_chromatin_heme,5A,focused_chromatin_vs_heme,BRD2,ALAD,BRCA_Tumor,0.33,1.5000000000000002e-28,ok,gepia_results_phase5/5A__focused_chromatin_vs_heme__BRCA_Tumor__BRD2_vs_ALAD.pdf
Supplemental_pancancer_chromatin_heme,5A,focused_chromatin_vs_heme,BRD2,ALAS1,BRCA_Tumor,0.22,1.1e-13,ok,gepia_results_phase5/5A__focused_chromatin_vs_heme__BRCA_Tumor__BRD2_vs_ALAS1.pdf
