cancer,in_main_figure,HMBS,HMBS_sign,UROS,UROS_sign,UROD,UROD_sign,CPOX,CPOX_sign,PPOX,PPOX_sign,FECH,FECH_sign
ACC,no,down,ns,no,,no,,ns,,down,ns,down,
BLCA,no,up,ns,no,,no,,ns,,up,ns,ns,
BRCA,yes,up,ns,up,ns,no,,ns,,ns,,up,ns
CESC,no,up,ns,ns,,no,,ns,,ns,,ns,
CHOL,no,up,ns,up,ns,up,ns,ns,,ns,,ns,
COAD,yes,up,,no,,down,ns,up,ns,down,ns,down,ns
DLBC,no,up,,up,,up,,up,,up,ns,ns,
ESCA,no,no,,no,,ns,,ns,,down,ns,ns,
GBM,no,up,,down,,up,,ns,,ns,,up,ns
HNSC,yes,ns,,no,,up,ns,up,ns,ns,,ns,
KICH,no,no,,down,ns,ns,,up,ns,down,ns,ns,
KIRC,yes,ns,,ns,,up,ns,ns,,ns,,down,
KIRP,no,up,ns,ns,,up,ns,ns,,up,ns,down,
LAML,no,down,,ns,,down,,down,,down,ns,down,
LGG,no,up,,down,ns,down,ns,ns,,ns,,up,ns
LIHC,yes,up,ns,down,ns,up,ns,down,ns,up,ns,ns,
LUAD,yes,up,ns,ns,,ns,,ns,,down,ns,ns,
LUSC,yes,up,ns,ns,,ns,,up,ns,down,ns,up,ns
MESO,no,NA,,NA,,NA,,NA,,NA,,ns,
OV,no,up,,up,ns,down,ns,ns,,down,,ns,
PAAD,no,up,ns,up,,up,,up,,ns,,ns,
PCPG,no,NA,,ns,,ns,,ns,,NA,,ns,
PRAD,yes,up,ns,no,,no,,ns,,down,ns,up,ns
READ,no,up,,no,,down,ns,up,ns,down,,down,ns
SARC,no,ns,,ns,,ns,,ns,,na,,ns,
SKCM,no,up,,ns,,up,,up,ns,down,ns,ns,
STAD,no,up,ns,ns,,ns,,up,ns,down,ns,up,ns
TGCT,no,up,,down,ns,ns,,up,ns,ns,,ns,
THCA,yes,no,,ns,,ns,,down,ns,down,,down,ns
THYM,no,up,ns,up,,up,,up,,up,,up,ns
UCEC,no,up,,up,ns,down,ns,down,ns,down,ns,down,ns
UCS,no,up,,up,ns,down,ns,down,ns,down,ns,down,ns
UVM,no,NA,,NA,,NA,,ns,,NA,,ns,
